company,job_type,salary
"瑞勤数据,玛瑙湾,法本信息,东家,云车金融,杭州软通动力,腾盛,婚礼纪,博彦科技,鲁小姐理财,上佰电商,巨掌广告,车300,兑吧,杭州明霖,垂衣,旺旺集团,风数机场云,乾袋科技,门客生活,朗通,杭州明霖,海明控股Mitti,云车金融,杭州天域,微点,玩啊,潘帕斯,奥康国际,名汯科技",数据分析师,12.10
"创因网络科技,阿里巴巴集团,nala,币尔大数据,婚礼纪,稻本,橙鹰,浙江大华,阿里巴巴集团,数擎,阿里巴巴集团,爱财集团,徐娜拉电商,蚂蚁金服,昆山华信,优创信息,橙鹰,橙鹰,浙富,好德投资,杭州铭师堂,执御,天猫,徐娜拉电商,阿里云,阿里巴巴集团,橙鹰,蚂蚁金服,杭州海康威视,杭州铭师堂",数据挖掘,22.27
"青兴科技,杭州软通动力,开课吧,信雅达软件,51信用卡管家,云沃客,支付宝,CityDO,京北方,浙江力太科技,杭州魔蝎数据,51信用卡管家,云车金融,51公积金管家,莱铂克,车集信息,橙鹰,网易杭州,鸿程系统,杭州蜜聚网络,斑马数智,铜板街,学海教育,莱铂克,PerfMa,网易,浙江日报,蚂蚁金服,中恒电气",数据开发,19.81
"奔展信息,橙鹰,机蜜,莱铂克,兴业银行杭州分行,传化物流,数美科技,阿里巴巴集团,车集信息,橙鹰,税友软件集团,每刻,奔展信息,禾连健康,阿里云,点我达,天猫,奥康国际,有赞,奔展信息,阿里巴巴集团,税友软件集团,小影,汽车超人,米橙科技,莱铂克,蚂蚁金服,51信用卡管家,杭州铭师堂,橙鹰",数据仓库,20.97
"天阙,数聚股份,新致软件,企加云CRM,宸帆电商,杭州雅拓,中软融鑫,天阙,杭州乐刻,鸿程系统,杭州追灿科技,企加云CRM,爱财集团,浙江大华,宇信科技,雅拓信息,杭州雅拓,宸帆电商,富聊,数为科技,匡信科技,杭州乐刻,政采云,宸帆电商,汇金智融,鼎茂,税友软件集团,乐刻运动健身,浙江托普云农",ETL工程师,15.93
"乐其网络,米络科技,同花顺,亿保健康,人人爱家金融,鑫合汇,有赞,蚂蚁金服,杭州赢莱,秦牛网络,杭州数空科技有限公司,诺壹,e签宝,人众金服,百师通,浙江大华,铜掌柜,阿里云,高达软件,小泰科技,袋鼠云,橙鹰,蚂蚁金服,铜掌柜,申通快递,浅墨科技,星汉信息,华卓科技,海康威视,浙江阿拉丁",DBA,17.88
"浅墨科技,名汯科技,新光互联,杭州默安科技有限公司,杭州海康威视,欧加网络科技,浙江律讯,赛赋,阿里云,名汯科技,游丸网络,溥博泰道,万乾,麦睿科技,浙江律讯,格格家,上海天玑,ABC360,浙江众盟,米金社,成功软件,百师通,万商汇,溥博泰道,marryu,新湃,拾贝,海仓科技,安恒信息,支付宝口碑",系统安全,16.82
"亮剑天下集团,好德投资,杭州安恒,山石网科,创客金融,辉腾智能,东安检测,菲提亚,海康威视,安恒信息,同盾科技,上信科技,华云科技,赛赋,浙江华为,青淼,阿里巴巴集团,杭州广桥集客,国利信安,安恒信息,人众金服,杭州岚光文化传媒,明山控股,浙江大华,浙江宇视科技,AVONFLOW,杭州视在,蜜帅文化,安恒信息,木链科技",网络安全,14.48
"登虹公司,大承医疗,深圳柔联,浙富,YOUHOO,亮剑天下集团,立视通健康科技,嘉和众邦,英特怡年,亿咖通,卡管家信息技术,橙鹰,鲜生友请,杭州味捷餐饮有限公司,卡巴新能源,老头儿油爆虾,浙江佑泰,trustchem,杭州美莱,亿咖通,鲜生友请,鲜生友请,利星名品百货,杭州耕耘文化,杭州恒力,城云科技,吉利汽车,鲜生友请,杭州溥弛,浙江执御",系统管理员,8.42
"百旺金赋(杭州),纬创,广修侠,海鑫科金,今日在线,中软国际,文思海辉,三花微通道,超星集团,武汉佰钧成,浙江宇视科技,盾安新能源,泰瑞机器,彩虹鱼科技,杭州瑞网广通,腾盛,数酷科技,杭州科密科技有限公司,全网云医疗,阳光雨露,华是科技,席媒科技,海康威视,杭州海康威视,金吉,向东软件,新喜多,网易杭州,小租网络,阿里巴巴集团",IT技术支持,9.45
"融都科技,杭州软通动力,杭州数澜科技有限公司,杭州同太科技有限公司,阿里巴巴集团,又拍云UPYUN,游鹿网络,奇志信息科技,铲屎官品牌管理,杭州麒云科技,上海特资网络科技,挖财,多清赢收,优黑,阿里巴巴集团,蜜糖公园,栗鼠科技,有赞,微策略,TELETRAAN,后发网络,浙江宇视科技,威岚科技,云兑信息技术,有赞,傲动网络,阿里巴巴集团,有赞,阿里巴巴集团,华为",JavaScript,16.20
"豆贝教育,码虫网络,红掌文化,阿拉丁信息科技,西界王公司,上海特资网络科技,魔数科技,向正科技,鼎易科技,跟屁虫影视,新盛蓝科技,阿拉丁信息科技,玄猫动画,游卡桌游,伊果教育科技,黑核互动,怀瑾文创,指悦网络科技有限公司,酷蜂科技,赢在影视,中承商贸,阿拉丁信息科技,掌霆互动,玩大网络,万核网络,奇奥吾得,圣图腾,杭州广域软件,数联中国,杭州菲助科技",Flash,9.42
"上海屹通,蚂蚁金服,菜鸟,美因茨,双城科技,瑞友科技,杭州盈软科技有限公司,政采云,网易金融,鲁尔物联,星我智能科技有限公司,奔展信息,蚂蚁金服,华博特教育,蓝集科技,金爵实业,鸿泉物联网,PandaABC,纳车品,天邮科技,木链科技,鹭栖科技,嘉楠耘智,银盒宝成,蓝集科技,领图,桃子科技,杭州数澜科技有限公司,杭州海康威视,九仟科技",web前端,13.97
"杭州心景科技有限公司,善文科技,浮云科技,清莹网,隆科网络科技,他山网络,杭州网络科技有限公司,讯通信息技术,网上轻纺城,杭州魔点科技有限公司,善文科技,杭州心景科技有限公司,速线科技,杭州魔点科技有限公司,杭州魔点科技有限公司",WP,14.50
